id,label
5001,1
5002,1
5003,0
5004,1
5005,1
5006,1
5007,0
5008,0
5009,1
5010,0
5011,0
5012,0
5013,0
5014,1
5015,0
5016,0
5017,0
5018,1
5019,0
5020,0
5021,0
5022,0
5023,0
5024,0
5025,1
5026,1
5027,1
5028,1
5029,1
5030,0
5031,1
5032,0
5033,0
5034,1
5035,1
5036,1
5037,1
5038,1
5039,0
5040,1
5041,0
5042,0
5043,0
5044,1
5045,0
5046,0
5047,0
5048,0
5049,0
5050,1
5051,1
5052,0
5053,0
5054,0
5055,0
5056,0
5057,1
5058,0
5059,1
5060,0
5061,0
5062,0
5063,0
5064,0
5065,1
5066,1
5067,0
5068,0
5069,1
5070,1
5071,0
5072,0
5073,0
5074,1
5075,0
5076,1
5077,0
5078,1
5079,0
5080,1
5081,0
5082,0
5083,0
5084,0
5085,0
5086,1
5087,0
5088,0
5089,1
5090,1
5091,0
5092,1
5093,0
5094,1
5095,1
5096,1
5097,0
5098,0
5099,0
5100,0
5101,0
5102,0
5103,0
5104,1
5105,0
5106,1
5107,1
5108,0
5109,1
5110,0
5111,0
5112,1
5113,1
5114,0
5115,1
5116,0
5117,1
5118,1
5119,0
5120,1
5121,0
5122,1
5123,1
5124,0
5125,0
5126,1
5127,0
5128,0
5129,0
5130,1
5131,0
5132,0
5133,0
5134,1
5135,0
5136,0
5137,0
5138,0
5139,0
5140,1
5141,1
5142,1
5143,1
5144,0
5145,1
5146,0
5147,0
5148,0
5149,1
5150,0
5151,0
5152,0
5153,1
5154,0
5155,0
5156,1
5157,0
5158,1
5159,1
5160,0
5161,1
5162,0
5163,0
5164,1
5165,0
5166,0
5167,0
5168,0
5169,0
5170,1
5171,0
5172,1
5173,1
5174,0
5175,0
5176,0
5177,0
5178,0
5179,0
5180,0
5181,0
5182,1
5183,0
5184,0
5185,0
5186,0
5187,1
5188,0
5189,0
5190,0
5191,0
5192,0
5193,1
5194,0
5195,0
5196,0
5197,0
5198,0
5199,1
5200,0
5201,0
5202,0
5203,0
5204,0
5205,0
5206,1
5207,1
5208,0
5209,1
5210,0
5211,1
5212,0
5213,0
5214,0
5215,0
5216,0
5217,0
5218,1
5219,0
5220,0
5221,0
5222,1
5223,0
5224,0
5225,0
5226,0
5227,1
5228,0
5229,1
5230,0
5231,0
5232,1
5233,0
5234,0
5235,0
5236,1
5237,0
5238,0
5239,0
5240,1
5241,0
5242,0
5243,0
5244,1
5245,1
5246,1
5247,0
5248,0
5249,0
5250,0
5251,0
5252,0
5253,1
5254,0
5255,0
5256,0
5257,1
5258,1
5259,0
5260,1
5261,0
5262,0
5263,0
5264,0
5265,1
5266,0
5267,0
5268,0
5269,0
5270,0
5271,0
5272,0
5273,1
5274,1
5275,1
5276,1
5277,1
5278,0
5279,0
5280,1
5281,1
5282,0
5283,0
5284,0
5285,1
5286,0
5287,0
5288,1
5289,0
5290,1
5291,1
5292,0
5293,0
5294,1
5295,0
5296,1
5297,0
5298,1
5299,0
5300,0
5301,0
5302,1
5303,1
5304,1
5305,0
5306,0
5307,0
5308,0
5309,0
5310,1
5311,1
5312,0
5313,0
5314,1
5315,1
5316,1
5317,0
5318,0
5319,0
5320,1
5321,1
5322,0
5323,0
5324,1
5325,1
5326,1
5327,1
5328,1
5329,0
5330,0
5331,1
5332,0
5333,1
5334,0
5335,0
5336,1
5337,0
5338,0
5339,0
5340,0
5341,0
5342,1
5343,0
5344,1
5345,0
5346,0
5347,1
5348,0
5349,0
5350,0
5351,0
5352,0
5353,1
5354,0
5355,0
5356,1
5357,0
5358,0
5359,0
5360,1
5361,1
5362,0
5363,0
5364,1
5365,1
5366,0
5367,0
5368,0
5369,1
5370,0
5371,1
5372,1
5373,1
5374,0
5375,0
5376,1
5377,0
5378,0
5379,0
5380,0
5381,0
5382,1
5383,1
5384,0
5385,0
5386,0
5387,1
5388,0
5389,1
5390,1
5391,1
5392,1
5393,0
5394,0
5395,1
5396,0
5397,1
5398,1
5399,0
5400,0
5401,1
5402,0
5403,0
5404,1
5405,0
5406,1
5407,0
5408,1
5409,1
5410,0
5411,1
5412,0
5413,1
5414,1
5415,1
5416,1
5417,1
5418,0
5419,0
5420,1
5421,0
5422,0
5423,0
5424,0
5425,0
5426,0
5427,0
5428,1
5429,0
5430,1
5431,0
5432,1
5433,0
5434,1
5435,0
5436,0
5437,1
5438,0
5439,1
5440,1
5441,0
5442,1
5443,0
5444,0
5445,0
5446,1
5447,0
5448,0
5449,0
5450,1
5451,0
5452,1
5453,1
5454,1
5455,0
5456,0
5457,0
5458,1
5459,0
5460,0
5461,0
5462,1
5463,0
5464,0
5465,0
5466,1
5467,1
5468,0
5469,0
5470,0
5471,0
5472,1
5473,0
5474,0
5475,1
5476,1
5477,1
5478,0
5479,1
5480,0
5481,0
5482,1
5483,0
5484,1
5485,1
5486,1
5487,1
5488,1
5489,1
5490,1
5491,1
5492,0
5493,1
5494,1
5495,0
5496,0
5497,0
5498,0
5499,0
5500,1
5501,0
5502,0
5503,0
5504,0
5505,1
5506,1
5507,1
5508,1
5509,0
5510,1
5511,0
5512,1
5513,1
5514,1
5515,0
5516,0
5517,0
5518,0
5519,1
5520,0
5521,0
5522,1
5523,0
5524,1
5525,0
5526,0
5527,0
5528,0
5529,1
5530,0
5531,0
5532,0
5533,1
5534,1
5535,1
5536,1
5537,1
5538,1
5539,0
5540,1
5541,0
5542,0
5543,1
5544,0
5545,1
5546,0
5547,0
5548,1
5549,1
5550,1
5551,0
5552,1
5553,0
5554,0
5555,1
5556,1
5557,1
5558,1
5559,0
5560,0
5561,0
5562,0
5563,0
5564,0
5565,1
5566,0
5567,1
5568,1
5569,0
5570,0
5571,1
5572,1
5573,1
5574,0
5575,1
5576,1
5577,1
5578,1
5579,0
5580,0
5581,1
5582,1
5583,1
5584,1
5585,1
5586,1
5587,0
5588,1
5589,0
5590,0
5591,0
5592,0
5593,0
5594,0
5595,1
5596,0
5597,0
5598,1
5599,0
5600,0
5601,0
5602,1
5603,1
5604,0
5605,0
5606,0
5607,0
5608,0
5609,1
5610,0
5611,0
5612,1
5613,0
5614,1
5615,0
5616,0
5617,0
5618,0
5619,0
5620,0
5621,0
5622,0
5623,0
5624,0
5625,1
5626,1
5627,0
5628,0
5629,1
5630,0
5631,0
5632,1
5633,0
5634,1
5635,0
5636,0
5637,0
5638,1
5639,0
5640,0
5641,0
5642,0
5643,0
5644,1
5645,0
5646,0
5647,0
5648,1
5649,0
5650,0
5651,0
5652,1
5653,0
5654,0
5655,0
5656,0
5657,0
5658,0
5659,0
5660,1
5661,1
5662,1
5663,0
5664,1
5665,0
5666,1
5667,1
5668,0
5669,0
5670,1
5671,1
5672,0
5673,1
5674,0
5675,0
5676,0
5677,0
5678,0
5679,0
5680,1
5681,1
5682,0
5683,0
5684,1
5685,1
5686,0
5687,0
5688,1
5689,1
5690,0
5691,1
5692,1
5693,0
5694,0
5695,1
5696,1
5697,1
5698,1
5699,0
5700,0
5701,0
5702,0
5703,1
5704,1
5705,0
5706,0
5707,1
5708,1
5709,1
5710,1
5711,1
5712,1
5713,0
5714,0
5715,1
5716,0
5717,0
5718,1
5719,0
5720,1
5721,1
5722,1
5723,0
5724,1
5725,1
5726,1
5727,1
5728,0
5729,0
5730,1
5731,0
5732,1
5733,1
5734,0
5735,0
5736,1
5737,0
5738,0
5739,0
5740,0
5741,0
5742,1
5743,0
5744,0
5745,0
5746,0
5747,0
5748,1
5749,1
5750,1
5751,0
5752,0
5753,1
5754,1
5755,0
5756,1
5757,0
5758,0
5759,0
5760,1
5761,0
5762,1
5763,1
5764,0
5765,0
5766,0
5767,1
5768,0
5769,0
5770,0
5771,1
5772,1
5773,0
5774,0
5775,1
5776,0
5777,1
5778,0
5779,1
5780,0
5781,0
5782,0
5783,0
5784,0
5785,1
5786,0
5787,1
5788,0
5789,0
5790,0
5791,0
5792,0
5793,0
5794,0
5795,1
5796,0
5797,1
5798,0
5799,1
5800,0
5801,0
5802,1
5803,1
5804,1
5805,0
5806,1
5807,0
5808,0
5809,1
5810,1
5811,1
5812,1
5813,1
5814,1
5815,0
5816,0
5817,0
5818,1
5819,1
5820,0
5821,0
5822,0
5823,0
5824,0
5825,1
5826,0
5827,0
5828,1
5829,0
5830,0
5831,0
5832,0
5833,0
5834,0
5835,1
5836,0
5837,1
5838,1
5839,0
5840,1
5841,0
5842,0
5843,0
5844,0
5845,0
5846,0
5847,1
5848,1
5849,1
5850,1
5851,0
5852,1
5853,0
5854,0
5855,0
5856,0
5857,1
5858,1
5859,1
5860,0
5861,1
5862,1
5863,0
5864,1
5865,1
5866,1
5867,1
5868,0
5869,0
5870,1
5871,1
5872,0
5873,0
5874,0
5875,0
5876,0
5877,1
5878,1
5879,0
5880,0
5881,1
5882,0
5883,1
5884,0
5885,1
5886,0
5887,0
5888,0
5889,0
5890,1
5891,0
5892,0
5893,0
5894,1
5895,0
5896,1
5897,1
5898,1
5899,0
5900,0
5901,0
5902,1
5903,1
5904,0
5905,0
5906,1
5907,1
5908,0
5909,1
5910,1
5911,1
5912,0
5913,0
5914,0
5915,1
5916,0
5917,1
5918,1
5919,0
5920,0
5921,0
5922,0
5923,1
5924,0
5925,0
5926,0
5927,1
5928,0
5929,1
5930,1
5931,0
5932,0
5933,1
5934,1
5935,0
5936,1
5937,1
5938,0
5939,0
5940,0
5941,1
5942,0
5943,0
5944,0
5945,1
5946,1
5947,1
5948,0
5949,0
5950,1
5951,0
5952,0
5953,0
5954,1
5955,0
5956,0
5957,0
5958,1
5959,0
5960,0
5961,0
5962,1
5963,0
5964,1
5965,0
5966,0
5967,0
5968,0
5969,0
5970,0
5971,0
5972,0
5973,0
5974,0
5975,0
5976,1
5977,1
5978,0
5979,1
5980,1
5981,1
5982,1
5983,0
5984,1
5985,0
5986,1
5987,0
5988,0
5989,0
5990,0
5991,0
5992,0
5993,0
5994,0
5995,0
5996,1
5997,1
5998,0
5999,0
6000,1
6001,0
6002,1
6003,1
6004,1
6005,0
6006,0
6007,0
6008,0
6009,0
6010,1
6011,0
6012,1
6013,1
6014,0
6015,0
6016,0
6017,1
6018,0
6019,0
6020,1
6021,0
6022,0
6023,0
6024,1
6025,0
6026,1
6027,0
6028,0
6029,0
6030,1
6031,0
6032,1
6033,0
6034,0
6035,1
6036,1
6037,1
6038,0
6039,1
6040,1
6041,0
6042,0
6043,1
6044,0
